Timestamp,LeftChannel,RightChannel,TachPulse
0.000000,1.250000,0.900000,5.0
0.000156,1.302757,0.861473,0.0
0.000313,1.354729,0.822427,0.0
0.000469,1.405885,0.782886,0.0
0.000625,1.456194,0.742873,0.0
0.000781,1.505626,0.702412,0.0
0.000937,1.554151,0.661529,0.0
0.001094,1.601740,0.620247,0.0
0.001250,1.648365,0.578591,0.0
0.001406,1.693996,0.536587,0.0
0.001563,1.738607,0.494260,0.0
0.001719,1.782170,0.451634,0.0
0.001875,1.824660,0.408737,0.0
0.002031,1.866051,0.365594,0.0
0.002188,1.906318,0.322230,0.0
0.002344,1.945437,0.278673,0.0
0.002500,1.983383,0.234947,0.0
0.002656,2.020135,0.191080,0.0
0.002812,2.055671,0.147098,0.0
0.002969,2.089967,0.103027,0.0
0.003125,2.123005,0.058894,0.0
0.003281,2.154765,0.014726,0.0
0.003438,2.185226,-0.029451,0.0
0.003594,2.214371,-0.073611,0.0
0.003750,2.242182,-0.117726,0.0
0.003906,2.268642,-0.161770,0.0
0.004063,2.293736,-0.205717,0.0
0.004219,2.317449,-0.249539,0.0
0.004375,2.339765,-0.293212,0.0
0.004531,2.360672,-0.336708,0.0
0.004687,2.380157,-0.380001,0.0
0.004844,2.398208,-0.423065,0.0
0.005000,2.414815,-0.465874,0.0
0.005156,2.429967,-0.508403,0.0
0.005313,2.443655,-0.550625,0.0
0.005469,2.455871,-0.592516,0.0
0.005625,2.466608,-0.634050,0.0
0.005781,2.475860,-0.675202,0.0
0.005938,2.483619,-0.715947,0.0
0.006094,2.489883,-0.756261,0.0
0.006250,2.494647,-0.796120,0.0
0.006406,2.497909,-0.835499,0.0
0.006562,2.499665,-0.874374,0.0
0.006719,2.499916,-0.912723,0.0
0.006875,2.498661,-0.950522,0.0
0.007031,2.495902,-0.987749,0.0
0.007188,2.491638,-1.024380,0.0
0.007344,2.485874,-1.060395,0.0
0.007500,2.478612,-1.095771,0.0
0.007656,2.469857,-1.130486,0.0
0.007812,2.459615,-1.164521,0.0
0.007969,2.447891,-1.197854,0.0
0.008125,2.434692,-1.230466,0.0
0.008281,2.420027,-1.262337,0.0
0.008438,2.403904,-1.293447,0.0
0.008594,2.386334,-1.323778,0.0
0.008750,2.367325,-1.353312,0.0
0.008906,2.346891,-1.382030,0.0
0.009062,2.325043,-1.409916,0.0
0.009219,2.301795,-1.436953,0.0
0.009375,2.277160,-1.463124,0.0
0.009531,2.251153,-1.488414,0.0
0.009687,2.223790,-1.512807,0.0
0.009844,2.195088,-1.536289,0.0
0.010000,2.165064,-1.558846,0.0
0.010156,2.133735,-1.580463,0.0
0.010313,2.101121,-1.601129,0.0
0.010469,2.067241,-1.620830,0.0
0.010625,2.032117,-1.639555,0.0
0.010781,1.995768,-1.657292,0.0
0.010937,1.958217,-1.674031,0.0
0.011094,1.919486,-1.689762,0.0
0.011250,1.879600,-1.704474,0.0
0.011406,1.838581,-1.718160,0.0
0.011562,1.796454,-1.730811,0.0
0.011719,1.753245,-1.742420,0.0
0.011875,1.708981,-1.752979,0.0
0.012031,1.663687,-1.762482,0.0
0.012188,1.617390,-1.770923,0.0
0.012344,1.570120,-1.778297,0.0
0.012500,1.521904,-1.784601,0.0
0.012656,1.472771,-1.789829,0.0
0.012812,1.422750,-1.793979,0.0
0.012969,1.371873,-1.797049,0.0
0.013125,1.320170,-1.799036,0.0
0.013281,1.267671,-1.799940,0.0
0.013437,1.214408,-1.799759,0.0
0.013594,1.160415,-1.798494,0.0
0.013750,1.105722,-1.796146,0.0
0.013906,1.050363,-1.792716,0.0
0.014063,0.994371,-1.788206,0.0
0.014219,0.937781,-1.782619,0.0
0.014375,0.880625,-1.775958,0.0
0.014531,0.822939,-1.768227,0.0
0.014687,0.764758,-1.759432,0.0
0.014844,0.706115,-1.749576,0.0
0.015000,0.647048,-1.738666,0.0
0.015156,0.587590,-1.726710,0.0
0.015312,0.527779,-1.713713,0.0
0.015469,0.467650,-1.699684,0.0
0.015625,0.407239,-1.684631,0.0
0.015781,0.346582,-1.668563,0.0
0.015938,0.285717,-1.651490,0.0
0.016094,0.224680,-1.633422,0.0
0.016250,0.163508,-1.614371,0.0
0.016406,0.102237,-1.594347,0.0
0.016563,0.040904,-1.573363,0.0
0.016719,-0.020453,-1.551431,0.0
0.016875,-0.081798,-1.528564,0.0
0.017031,-0.143093,-1.504777,0.0
0.017188,-0.204303,-1.480083,0.0
0.017344,-0.265389,-1.454497,0.0
0.017500,-0.326315,-1.428036,0.0
0.017656,-0.387045,-1.400714,0.0
0.017812,-0.447542,-1.372549,0.0
0.017969,-0.507769,-1.343557,0.0
0.018125,-0.567691,-1.313755,0.0
0.018281,-0.627270,-1.283163,0.0
0.018437,-0.686472,-1.251797,0.0
0.018594,-0.745260,-1.219677,0.0
0.018750,-0.803599,-1.186822,0.0
0.018906,-0.861454,-1.153253,0.0
0.019062,-0.918790,-1.118989,0.0
0.019219,-0.975573,-1.084051,0.0
0.019375,-1.031768,-1.048460,0.0
0.019531,-1.087341,-1.012237,0.0
0.019688,-1.142260,-0.975405,0.0
0.019844,-1.196490,-0.937985,0.0
0.020000,-1.250000,-0.900000,0.0
0.020156,-1.302757,-0.861473,0.0
0.020313,-1.354729,-0.822427,0.0
0.020469,-1.405885,-0.782886,0.0
0.020625,-1.456194,-0.742873,0.0
0.020781,-1.505626,-0.702412,0.0
0.020938,-1.554151,-0.661529,0.0
0.021094,-1.601740,-0.620247,0.0
0.021250,-1.648365,-0.578591,0.0
0.021406,-1.693996,-0.536587,0.0
0.021562,-1.738607,-0.494260,0.0
0.021719,-1.782170,-0.451634,0.0
0.021875,-1.824660,-0.408737,0.0
0.022031,-1.866051,-0.365594,0.0
0.022187,-1.906318,-0.322230,0.0
0.022344,-1.945437,-0.278673,0.0
0.022500,-1.983383,-0.234947,0.0
0.022656,-2.020135,-0.191080,0.0
0.022812,-2.055671,-0.147098,0.0
0.022969,-2.089967,-0.103027,0.0
0.023125,-2.123005,-0.058894,0.0
0.023281,-2.154765,-0.014726,0.0
0.023438,-2.185226,0.029451,0.0
0.023594,-2.214371,0.073611,0.0
0.023750,-2.242182,0.117726,0.0
0.023906,-2.268642,0.161770,0.0
0.024063,-2.293736,0.205717,0.0
0.024219,-2.317449,0.249539,0.0
0.024375,-2.339765,0.293212,0.0
0.024531,-2.360672,0.336708,0.0
0.024688,-2.380157,0.380001,0.0
0.024844,-2.398208,0.423065,0.0
0.025000,-2.414815,0.465874,0.0
0.025156,-2.429967,0.508403,0.0
0.025313,-2.443655,0.550625,0.0
0.025469,-2.455871,0.592516,0.0
0.025625,-2.466608,0.634050,0.0
0.025781,-2.475860,0.675202,0.0
0.025937,-2.483619,0.715947,0.0
0.026094,-2.489883,0.756261,0.0
0.026250,-2.494647,0.796120,0.0
0.026406,-2.497909,0.835499,0.0
0.026562,-2.499665,0.874374,0.0
0.026719,-2.499916,0.912723,0.0
0.026875,-2.498661,0.950522,0.0
0.027031,-2.495902,0.987749,0.0
0.027187,-2.491638,1.024380,0.0
0.027344,-2.485874,1.060395,0.0
0.027500,-2.478612,1.095771,0.0
0.027656,-2.469857,1.130486,0.0
0.027813,-2.459615,1.164521,0.0
0.027969,-2.447891,1.197854,0.0
0.028125,-2.434692,1.230466,0.0
0.028281,-2.420027,1.262337,0.0
0.028438,-2.403904,1.293447,0.0
0.028594,-2.386334,1.323778,0.0
0.028750,-2.367325,1.353312,0.0
0.028906,-2.346891,1.382030,0.0
0.029063,-2.325043,1.409916,0.0
0.029219,-2.301795,1.436953,0.0
0.029375,-2.277160,1.463124,0.0
0.029531,-2.251153,1.488414,0.0
0.029687,-2.223790,1.512807,0.0
0.029844,-2.195088,1.536289,0.0
0.030000,-2.165064,1.558846,0.0
0.030156,-2.133735,1.580463,0.0
0.030312,-2.101121,1.601129,0.0
0.030469,-2.067241,1.620830,0.0
0.030625,-2.032117,1.639555,0.0
0.030781,-1.995768,1.657292,0.0
0.030937,-1.958217,1.674031,0.0
0.031094,-1.919486,1.689762,0.0
0.031250,-1.879600,1.704474,0.0
0.031406,-1.838581,1.718160,0.0
0.031563,-1.796454,1.730811,0.0
0.031719,-1.753245,1.742420,0.0
0.031875,-1.708981,1.752979,0.0
0.032031,-1.663687,1.762482,0.0
0.032188,-1.617390,1.770923,0.0
0.032344,-1.570120,1.778297,0.0
0.032500,-1.521904,1.784601,0.0
0.032656,-1.472771,1.789829,0.0
0.032813,-1.422750,1.793979,0.0
0.032969,-1.371873,1.797049,0.0
0.033125,-1.320170,1.799036,0.0
0.033281,-1.267671,1.799940,0.0
0.033438,-1.214408,1.799759,0.0
0.033594,-1.160415,1.798494,0.0
0.033750,-1.105722,1.796146,0.0
0.033906,-1.050363,1.792716,0.0
0.034063,-0.994371,1.788206,0.0
0.034219,-0.937781,1.782619,0.0
0.034375,-0.880625,1.775958,0.0
0.034531,-0.822939,1.768227,0.0
0.034688,-0.764758,1.759432,0.0
0.034844,-0.706115,1.749576,0.0
0.035000,-0.647048,1.738666,0.0
0.035156,-0.587590,1.726710,0.0
0.035312,-0.527779,1.713713,0.0
0.035469,-0.467650,1.699684,0.0
0.035625,-0.407239,1.684631,0.0
0.035781,-0.346582,1.668563,0.0
0.035937,-0.285717,1.651490,0.0
0.036094,-0.224680,1.633422,0.0
0.036250,-0.163508,1.614371,0.0
0.036406,-0.102237,1.594347,0.0
0.036562,-0.040904,1.573363,0.0
0.036719,0.020453,1.551431,0.0
0.036875,0.081798,1.528564,0.0
0.037031,0.143093,1.504777,0.0
0.037187,0.204303,1.480083,0.0
0.037344,0.265389,1.454497,0.0
0.037500,0.326315,1.428036,0.0
0.037656,0.387045,1.400714,0.0
0.037812,0.447542,1.372549,0.0
0.037969,0.507769,1.343557,0.0
0.038125,0.567691,1.313755,0.0
0.038281,0.627270,1.283163,0.0
0.038437,0.686472,1.251797,0.0
0.038594,0.745260,1.219677,0.0
0.038750,0.803599,1.186822,0.0
0.038906,0.861454,1.153253,0.0
0.039062,0.918790,1.118989,0.0
0.039219,0.975573,1.084051,0.0
0.039375,1.031768,1.048460,0.0
0.039531,1.087341,1.012237,0.0
0.039688,1.142260,0.975405,0.0
0.039844,1.196490,0.937985,0.0
0.040000,1.250000,0.900000,5.0
0.040156,1.302757,0.861473,0.0
0.040313,1.354729,0.822427,0.0
0.040469,1.405885,0.782886,0.0
0.040625,1.456194,0.742873,0.0
0.040781,1.505626,0.702412,0.0
0.040938,1.554151,0.661529,0.0
0.041094,1.601740,0.620247,0.0
0.041250,1.648365,0.578591,0.0
0.041406,1.693996,0.536587,0.0
0.041563,1.738607,0.494260,0.0
0.041719,1.782170,0.451634,0.0
0.041875,1.824660,0.408737,0.0
0.042031,1.866051,0.365594,0.0
0.042188,1.906318,0.322230,0.0
0.042344,1.945437,0.278673,0.0
0.042500,1.983383,0.234947,0.0
0.042656,2.020135,0.191080,0.0
0.042813,2.055671,0.147098,0.0
0.042969,2.089967,0.103027,0.0
0.043125,2.123005,0.058894,0.0
0.043281,2.154765,0.014726,0.0
0.043437,2.185226,-0.029451,0.0
0.043594,2.214371,-0.073611,0.0
0.043750,2.242182,-0.117726,0.0
0.043906,2.268642,-0.161770,0.0
0.044062,2.293736,-0.205717,0.0
0.044219,2.317449,-0.249539,0.0
0.044375,2.339765,-0.293212,0.0
0.044531,2.360672,-0.336708,0.0
0.044687,2.380157,-0.380001,0.0
0.044844,2.398208,-0.423065,0.0
0.045000,2.414815,-0.465874,0.0
0.045156,2.429967,-0.508403,0.0
0.045312,2.443655,-0.550625,0.0
0.045469,2.455871,-0.592516,0.0
0.045625,2.466608,-0.634050,0.0
0.045781,2.475860,-0.675202,0.0
0.045937,2.483619,-0.715947,0.0
0.046094,2.489883,-0.756261,0.0
0.046250,2.494647,-0.796120,0.0
0.046406,2.497909,-0.835499,0.0
0.046562,2.499665,-0.874374,0.0
0.046719,2.499916,-0.912723,0.0
0.046875,2.498661,-0.950522,0.0
0.047031,2.495902,-0.987749,0.0
0.047188,2.491638,-1.024380,0.0
0.047344,2.485874,-1.060395,0.0
0.047500,2.478612,-1.095771,0.0
0.047656,2.469857,-1.130486,0.0
0.047813,2.459615,-1.164521,0.0
0.047969,2.447891,-1.197854,0.0
0.048125,2.434692,-1.230466,0.0
0.048281,2.420027,-1.262337,0.0
0.048438,2.403904,-1.293447,0.0
0.048594,2.386334,-1.323778,0.0
0.048750,2.367325,-1.353312,0.0
0.048906,2.346891,-1.382030,0.0
0.049063,2.325043,-1.409916,0.0
0.049219,2.301795,-1.436953,0.0
0.049375,2.277160,-1.463124,0.0
0.049531,2.251153,-1.488414,0.0
0.049688,2.223790,-1.512807,0.0
0.049844,2.195088,-1.536289,0.0
0.050000,2.165064,-1.558846,0.0
0.050156,2.133735,-1.580463,0.0
0.050313,2.101121,-1.601129,0.0
0.050469,2.067241,-1.620830,0.0
0.050625,2.032117,-1.639555,0.0
0.050781,1.995768,-1.657292,0.0
0.050937,1.958217,-1.674031,0.0
0.051094,1.919486,-1.689762,0.0
0.051250,1.879600,-1.704474,0.0
0.051406,1.838581,-1.718160,0.0
0.051562,1.796454,-1.730811,0.0
0.051719,1.753245,-1.742420,0.0
0.051875,1.708981,-1.752979,0.0
0.052031,1.663687,-1.762482,0.0
0.052187,1.617390,-1.770923,0.0
0.052344,1.570120,-1.778297,0.0
0.052500,1.521904,-1.784601,0.0
0.052656,1.472771,-1.789829,0.0
0.052812,1.422750,-1.793979,0.0
0.052969,1.371873,-1.797049,0.0
0.053125,1.320170,-1.799036,0.0
0.053281,1.267671,-1.799940,0.0
0.053437,1.214408,-1.799759,0.0
0.053594,1.160415,-1.798494,0.0
0.053750,1.105722,-1.796146,0.0
0.053906,1.050363,-1.792716,0.0
0.054062,0.994371,-1.788206,0.0
0.054219,0.937781,-1.782619,0.0
0.054375,0.880625,-1.775958,0.0
0.054531,0.822939,-1.768227,0.0
0.054688,0.764758,-1.759432,0.0
0.054844,0.706115,-1.749576,0.0
0.055000,0.647048,-1.738666,0.0
0.055156,0.587590,-1.726710,0.0
0.055313,0.527779,-1.713713,0.0
0.055469,0.467650,-1.699684,0.0
0.055625,0.407239,-1.684631,0.0
0.055781,0.346582,-1.668563,0.0
0.055938,0.285717,-1.651490,0.0
0.056094,0.224680,-1.633422,0.0
0.056250,0.163508,-1.614371,0.0
0.056406,0.102237,-1.594347,0.0
0.056563,0.040904,-1.573363,0.0
0.056719,-0.020453,-1.551431,0.0
0.056875,-0.081798,-1.528564,0.0
0.057031,-0.143093,-1.504777,0.0
0.057188,-0.204303,-1.480083,0.0
0.057344,-0.265389,-1.454497,0.0
0.057500,-0.326315,-1.428036,0.0
0.057656,-0.387045,-1.400714,0.0
0.057813,-0.447542,-1.372549,0.0
0.057969,-0.507769,-1.343557,0.0
0.058125,-0.567691,-1.313755,0.0
0.058281,-0.627270,-1.283163,0.0
0.058438,-0.686472,-1.251797,0.0
0.058594,-0.745260,-1.219677,0.0
0.058750,-0.803599,-1.186822,0.0
0.058906,-0.861454,-1.153253,0.0
0.059062,-0.918790,-1.118989,0.0
0.059219,-0.975573,-1.084051,0.0
0.059375,-1.031768,-1.048460,0.0
0.059531,-1.087341,-1.012237,0.0
0.059687,-1.142260,-0.975405,0.0
0.059844,-1.196490,-0.937985,0.0
0.060000,-1.250000,-0.900000,0.0
0.060156,-1.302757,-0.861473,0.0
0.060312,-1.354729,-0.822427,0.0
0.060469,-1.405885,-0.782886,0.0
0.060625,-1.456194,-0.742873,0.0
0.060781,-1.505626,-0.702412,0.0
0.060937,-1.554151,-0.661529,0.0
0.061094,-1.601740,-0.620247,0.0
0.061250,-1.648365,-0.578591,0.0
0.061406,-1.693996,-0.536587,0.0
0.061562,-1.738607,-0.494260,0.0
0.061719,-1.782170,-0.451634,0.0
0.061875,-1.824660,-0.408737,0.0
0.062031,-1.866051,-0.365594,0.0
0.062187,-1.906318,-0.322230,0.0
0.062344,-1.945437,-0.278673,0.0
0.062500,-1.983383,-0.234947,0.0
0.062656,-2.020135,-0.191080,0.0
0.062812,-2.055671,-0.147098,0.0
0.062969,-2.089967,-0.103027,0.0
0.063125,-2.123005,-0.058894,0.0
0.063281,-2.154765,-0.014726,0.0
0.063437,-2.185226,0.029451,0.0
0.063594,-2.214371,0.073611,0.0
0.063750,-2.242182,0.117726,0.0
0.063906,-2.268642,0.161770,0.0
0.064062,-2.293736,0.205717,0.0
0.064219,-2.317449,0.249539,0.0
0.064375,-2.339765,0.293212,0.0
0.064531,-2.360672,0.336708,0.0
0.064687,-2.380157,0.380001,0.0
0.064844,-2.398208,0.423065,0.0
0.065000,-2.414815,0.465874,0.0
0.065156,-2.429967,0.508403,0.0
0.065312,-2.443655,0.550625,0.0
0.065469,-2.455871,0.592516,0.0
0.065625,-2.466608,0.634050,0.0
0.065781,-2.475860,0.675202,0.0
0.065937,-2.483619,0.715947,0.0
0.066094,-2.489883,0.756261,0.0
