Timestamp,LeftChannel,RightChannel,TachPulse
0.000000,2.451342,0.684040,5.0
0.000156,2.501083,0.637712,0.0
0.000313,2.549318,0.590999,0.0
0.000469,2.596017,0.543931,0.0
0.000625,2.641152,0.496534,0.0
0.000781,2.684696,0.448839,0.0
0.000937,2.726623,0.400873,0.0
0.001094,2.766908,0.352666,0.0
0.001250,2.805526,0.304247,0.0
0.001406,2.842454,0.255644,0.0
0.001563,2.877669,0.206887,0.0
0.001719,2.911152,0.158006,0.0
0.001875,2.942881,0.109029,0.0
0.002031,2.972837,0.059987,0.0
0.002188,3.001002,0.010908,0.0
0.002344,3.027360,-0.038177,0.0
0.002500,3.051894,-0.087239,0.0
0.002656,3.074590,-0.136248,0.0
0.002812,3.095434,-0.185176,0.0
0.002969,3.114413,-0.233991,0.0
0.003125,3.131516,-0.282666,0.0
0.003281,3.146733,-0.331171,0.0
0.003438,3.160055,-0.379476,0.0
0.003594,3.171473,-0.427553,0.0
0.003750,3.180980,-0.475372,0.0
0.003906,3.188572,-0.522904,0.0
0.004063,3.194243,-0.570122,0.0
0.004219,3.197989,-0.616996,0.0
0.004375,3.199810,-0.663499,0.0
0.004531,3.199703,-0.709602,0.0
0.004687,3.197668,-0.755278,0.0
0.004844,3.193707,-0.800498,0.0
0.005000,3.187823,-0.845237,0.0
0.005156,3.180018,-0.889466,0.0
0.005313,3.170298,-0.933159,0.0
0.005469,3.158668,-0.976291,0.0
0.005625,3.145136,-1.018834,0.0
0.005781,3.129709,-1.060763,0.0
0.005938,3.112397,-1.102054,0.0
0.006094,3.093210,-1.142681,0.0
0.006250,3.072160,-1.182619,0.0
0.006406,3.049259,-1.221845,0.0
0.006562,3.024521,-1.260336,0.0
0.006719,2.997962,-1.298066,0.0
0.006875,2.969597,-1.335015,0.0
0.007031,2.939442,-1.371160,0.0
0.007188,2.907518,-1.406479,0.0
0.007344,2.873842,-1.440951,0.0
0.007500,2.838435,-1.474555,0.0
0.007656,2.801318,-1.507270,0.0
0.007812,2.762513,-1.539078,0.0
0.007969,2.722045,-1.569958,0.0
0.008125,2.679937,-1.599893,0.0
0.008281,2.636215,-1.628864,0.0
0.008438,2.590905,-1.656854,0.0
0.008594,2.544034,-1.683846,0.0
0.008750,2.495630,-1.709824,0.0
0.008906,2.445724,-1.734771,0.0
0.009062,2.394344,-1.758674,0.0
0.009219,2.341522,-1.781518,0.0
0.009375,2.287289,-1.803288,0.0
0.009531,2.231679,-1.823972,0.0
0.009687,2.174724,-1.843557,0.0
0.009844,2.116460,-1.862032,0.0
0.010000,2.056920,-1.879385,0.0
0.010156,1.996142,-1.895606,0.0
0.010313,1.934161,-1.910686,0.0
0.010469,1.871015,-1.924614,0.0
0.010625,1.806742,-1.937383,0.0
0.010781,1.741381,-1.948985,0.0
0.010937,1.674971,-1.959413,0.0
0.011094,1.607552,-1.968661,0.0
0.011250,1.539164,-1.976723,0.0
0.011406,1.469849,-1.983594,0.0
0.011562,1.399649,-1.989271,0.0
0.011719,1.328606,-1.993749,0.0
0.011875,1.256763,-1.997026,0.0
0.012031,1.184163,-1.999100,0.0
0.012188,1.110849,-1.999970,0.0
0.012344,1.036866,-1.999636,0.0
0.012500,0.962259,-1.998096,0.0
0.012656,0.887072,-1.995354,0.0
0.012812,0.811350,-1.991409,0.0
0.012969,0.735140,-1.986265,0.0
0.013125,0.658487,-1.979924,0.0
0.013281,0.581437,-1.972391,0.0
0.013437,0.504038,-1.963669,0.0
0.013594,0.426334,-1.953765,0.0
0.013750,0.348374,-1.942684,0.0
0.013906,0.270204,-1.930433,0.0
0.014063,0.191871,-1.917019,0.0
0.014219,0.113423,-1.902450,0.0
0.014375,0.034906,-1.886735,0.0
0.014531,-0.043632,-1.869884,0.0
0.014687,-0.122143,-1.851906,0.0
0.014844,-0.200581,-1.832813,0.0
0.015000,-0.278898,-1.812616,0.0
0.015156,-0.357047,-1.791327,0.0
0.015312,-0.434981,-1.768958,0.0
0.015469,-0.512653,-1.745525,0.0
0.015625,-0.590017,-1.721040,0.0
0.015781,-0.667025,-1.695518,0.0
0.015938,-0.743631,-1.668975,0.0
0.016094,-0.819789,-1.641426,0.0
0.016250,-0.895453,-1.612889,0.0
0.016406,-0.970578,-1.583381,0.0
0.016563,-1.045118,-1.552918,0.0
0.016719,-1.119029,-1.521520,0.0
0.016875,-1.192265,-1.489206,0.0
0.017031,-1.264784,-1.455994,0.0
0.017188,-1.336540,-1.421906,0.0
0.017344,-1.407492,-1.386961,0.0
0.017500,-1.477596,-1.351180,0.0
0.017656,-1.546809,-1.314586,0.0
0.017812,-1.615091,-1.277200,0.0
0.017969,-1.682400,-1.239044,0.0
0.018125,-1.748696,-1.200142,0.0
0.018281,-1.813938,-1.160518,0.0
0.018437,-1.878088,-1.120194,0.0
0.018594,-1.941106,-1.079195,0.0
0.018750,-2.002955,-1.037547,0.0
0.018906,-2.063598,-0.995273,0.0
0.019062,-2.122997,-0.952400,0.0
0.019219,-2.181118,-0.908953,0.0
0.019375,-2.237925,-0.864958,0.0
0.019531,-2.293384,-0.820443,0.0
0.019688,-2.347461,-0.775433,0.0
0.019844,-2.400125,-0.729957,0.0
0.020000,-2.451342,-0.684040,0.0
0.020156,-2.501083,-0.637712,0.0
0.020313,-2.549318,-0.590999,0.0
0.020469,-2.596017,-0.543931,0.0
0.020625,-2.641152,-0.496534,0.0
0.020781,-2.684696,-0.448839,0.0
0.020938,-2.726623,-0.400873,0.0
0.021094,-2.766908,-0.352666,0.0
0.021250,-2.805526,-0.304247,0.0
0.021406,-2.842454,-0.255644,0.0
0.021562,-2.877669,-0.206887,0.0
0.021719,-2.911152,-0.158006,0.0
0.021875,-2.942881,-0.109029,0.0
0.022031,-2.972837,-0.059987,0.0
0.022187,-3.001002,-0.010908,0.0
0.022344,-3.027360,0.038177,0.0
0.022500,-3.051894,0.087239,0.0
0.022656,-3.074590,0.136248,0.0
0.022812,-3.095434,0.185176,0.0
0.022969,-3.114413,0.233991,0.0
0.023125,-3.131516,0.282666,0.0
0.023281,-3.146733,0.331171,0.0
0.023438,-3.160055,0.379476,0.0
0.023594,-3.171473,0.427553,0.0
0.023750,-3.180980,0.475372,0.0
0.023906,-3.188572,0.522904,0.0
0.024063,-3.194243,0.570122,0.0
0.024219,-3.197989,0.616996,0.0
0.024375,-3.199810,0.663499,0.0
0.024531,-3.199703,0.709602,0.0
0.024688,-3.197668,0.755278,0.0
0.024844,-3.193707,0.800498,0.0
0.025000,-3.187823,0.845237,0.0
0.025156,-3.180018,0.889466,0.0
0.025313,-3.170298,0.933159,0.0
0.025469,-3.158668,0.976291,0.0
0.025625,-3.145136,1.018834,0.0
0.025781,-3.129709,1.060763,0.0
0.025937,-3.112397,1.102054,0.0
0.026094,-3.093210,1.142681,0.0
0.026250,-3.072160,1.182619,0.0
0.026406,-3.049259,1.221845,0.0
0.026562,-3.024521,1.260336,0.0
0.026719,-2.997962,1.298066,0.0
0.026875,-2.969597,1.335015,0.0
0.027031,-2.939442,1.371160,0.0
0.027187,-2.907518,1.406479,0.0
0.027344,-2.873842,1.440951,0.0
0.027500,-2.838435,1.474555,0.0
0.027656,-2.801318,1.507270,0.0
0.027813,-2.762513,1.539078,0.0
0.027969,-2.722045,1.569958,0.0
0.028125,-2.679937,1.599893,0.0
0.028281,-2.636215,1.628864,0.0
0.028438,-2.590905,1.656854,0.0
0.028594,-2.544034,1.683846,0.0
0.028750,-2.495630,1.709824,0.0
0.028906,-2.445724,1.734771,0.0
0.029063,-2.394344,1.758674,0.0
0.029219,-2.341522,1.781518,0.0
0.029375,-2.287289,1.803288,0.0
0.029531,-2.231679,1.823972,0.0
0.029687,-2.174724,1.843557,0.0
0.029844,-2.116460,1.862032,0.0
0.030000,-2.056920,1.879385,0.0
0.030156,-1.996142,1.895606,0.0
0.030312,-1.934161,1.910686,0.0
0.030469,-1.871015,1.924614,0.0
0.030625,-1.806742,1.937383,0.0
0.030781,-1.741381,1.948985,0.0
0.030937,-1.674971,1.959413,0.0
0.031094,-1.607552,1.968661,0.0
0.031250,-1.539164,1.976723,0.0
0.031406,-1.469849,1.983594,0.0
0.031563,-1.399649,1.989271,0.0
0.031719,-1.328606,1.993749,0.0
0.031875,-1.256763,1.997026,0.0
